cuit,inclusion
30678386606,0
30518594466,0
30559684925,0
30671368254,0
30526397467,0
30546665263,0
30666349489,0
30637437247,0
30536778590,0
30707382003,0
30649274440,0
30687338584,0
30672610733,0
30672915887,0
30697887349,0
30672740424,0
30999130255,0
30597306578,0
30672122798,0
30659710206,0
30677473645,0
30593507129,0
30700056003,0
30671745023,0
30684198846,0
30565663123,0
30638261487,0
30546665573,0
30546665336,0
30684447838,0
30670160315,0
30632446477,0
30708675772,0
30637767026,0
30512440734,0
30679636274,0
30572970260,0
30707136509,0
30578591296,0
30542288651,0
30572456362,0
30554282888,0
30659650459,0
30635573968,0
30654477929,0
30624500160,0
30672802942,0
30707215492,0
30527226593,0
30690285173,0
30668175127,0
30708207868,0
30669251250,0
30635850279,0
30547752623,0
30670053411,0
30559022388,0
30670036665,0
30670071940,0
30650216888,0
30643464035,0
30668370957,0
30648908187,0
30635598049,0
30668554977,0
30571328069,0
30632198090,0
30654298714,0
30651337433,0
33651630059,0
30607739737,0
30594895734,0
30657711493,0
30689563275,0
30542816623,0
30584107924,0
30555922848,0
30553002547,0
30520518580,0
30708207957,0
30535587309,0
30596044375,0
30649733623,0
30591189928,0
30545112082,0
30567319810,0
30541213623,0
30587289411,0
30584652809,0
30670067714,0
34660989139,0
30585154357,0
30635657800,0
30605847516,0
30670078112,0
30670086476,0
30648997783,0
30576838618,0
30696765940,0
30568223868,0
30612394144,0
33648782549,0
30654685750,0
30572839172,0
30569496698,0
30648532330,0
30651931386,0
30544753912,0
30605376564,0
33567850949,0
33604204289,0
30670036355,0
30658799599,0
30670151375,0
30670088452,0
30557339406,0
30552352552,0
30505692493,0
33688914049,0
33574648209,0
30634454086,0
30594785866,0
30623743965,0
30581150934,0
30546665646,0
30607743580,0
30669237924,0
30672256204,0
30625946200,0
30535363125,0
30636398302,0
30587399454,0
30636991712,0
30708207930,0
30669381014,0
30612826478,0
30594231801,0
30631041031,0
30694259053,0
30597044964,0
34581010143,0
30521980342,0
30590391294,0
30556603436,0
30548175352,0
30606016456,0
30670047683,0
33670039639,0
30605337917,0
30657522704,0
30585188308,0
30670065355,0
30670049732,0
30670071703,0
30645904806,0
30660063761,0
30588409534,0
30638991752,0
30609023976,0
30581262953,0
30648907954,0
30670146916,0
30686097028,0
30712060553,0
30598654308,0
30712282823,0
30617807382,0
30607063261,0
30670189836,0
30648529402,0
30590712287,0
33607739809,0
33571576819,0
30567675552,0
30627845002,0
33549272989,0
33558952399,0
30581263011,0
30590824689,0
30573450392,0
30541516790,0
30601652664,0
30521382127,0
30556267746,0
30580750164,0
30546978989,0
30602205610,0
30584245669,0
30516551050,0
30686049058,0
30624849678,0
30659535366,0
30590824999,0
30521898522,0
30648477917,0
30653189008,0
30513952070,0
30587815954,0
30696737629,0
30567911167,0
30566785141,0
30518120529,0
30670048744,0
30553858514,0
30558801413,0
30518120456,0
30668746019,0
30711342997,0
30700248212,0
30507714869,0
30707394338,0
30707788212,0
30505971163,0
30668745713,0
30582380089,0
30522014377,0
30710918550,0
30627550819,0
30672256131,0
30523444375,0
30710800746,0
30642359076,0
30674027776,0
30694866901,0
30671668282,0
30671570355,0
30663633364,0
30687602109,0
30682710426,0
30708207892,0
30667522486,0
33674024709,0
30518702293,0
30611473822,0
30669336019,0
30600236659,0
30605431433,0
33543031009,0
30566013017,0
30587465961,0
30607740131,0
30632857299,0
30616181277,0
30653589731,0
30710820224,0
30591943495,0
33669135179,0
30668454417,0
30623743892,0
30548244079,0
30652712505,0
30629337977,0
33686077689,0
30552382788,0
30668758645,0
30688868110,0
30668655978,0
30579734589,0
30668443873,0
30592914154,0
30559656220,0
30542927034,0
30711228655,0
33505968099,0
30589106748,0
30709150444,0
30668444934,0
33670201959,0
30542749365,0
30513958494,0
33560442659,0
30601322958,0
30522115998,0
30628594240,0
30605023998,0
30575009049,0
30628939566,0
33557874289,0
30635856765,0
30629554749,0
30654390947,0
30669074642,0
30573068781,0
33551779519,0
30537703748,0
30522366338,0
30569228642,0
30559154985,0
33680993039,0
30600212563,0
30668317452,0
30698558764,0
30668315549,0
30668483727,0
30669127673,0
30708189223,0
30648166105,0
30672819764,0
30670157551,0
30618001020,0
30671508439,0
33611212769,0
30674171311,0
30669731864,0
30664584502,0
30567673266,0
30655939527,0
30572985799,0
30708972459,0
30551364972,0
30579968008,0
30701044130,0
30672827023,0
30715226428,0
30709565075,1
30707919902,1
30663502820,1
30709670413,1
33563135749,1
30675534132,1
30709796018,1
30682491287,1
30567894785,1
30684577073,1
30711836647,1
30709824585,1
30715647822,1
30647022525,1
30621306622,1
30711253617,1
30685227440,1
30711152306,1
30711807272,1
30640916865,1
33715462929,1
30672124081,1
30672123921,1
30708060263,1
30626001765,1
30709397695,1
30708076356,0
33708180799,0
30648490638,0
30582426747,0
30710011202,0
33673473739,0
33707545939,0
30684298093,0
30710969694,0
33714673519,0
30715886126,0
30999129850,0
30674329306,0
30500012516,1
33704569349,1
30710381182,1
30708149450,1
30525599325,1
30540875053,1
30641518561,1
33674395669,1
30634720827,0
30506695364,0
33536349869,0
30618350327,0
33630048929,0
30615549319,0
33631528509,0
30617794442,0
30681568642,0
30546686384,0
30557366977,0
30999166357,0
30643294938,0
30999248833,0
30632918654,0
